24/04/07,20:31:14,T-Mobile CZ,31.99,LTE,Online,230-01,0x6050,155261708,45,EUTRAN-BAND20,6200,3,3,-96,-681,-403,9,49.23209772637649,,16.57201279087538,,,,276.0,,
24/04/07,20:31:17,T-Mobile CZ,31.99,LTE,Online,230-01,0x6050,155261708,45,EUTRAN-BAND20,6200,3,3,-95,-661,-385,10,49.23222829478237,,16.572305343156536,,,,275.25,,
24/04/07,20:31:20,T-Mobile CZ,31.99,LTE,Online,230-01,0x6050,155261708,45,EUTRAN-BAND20,6200,3,3,-86,-673,-382,6,49.23235886318824,,16.57259789543769,,,,274.5,,
24/04/07,20:31:23,T-Mobile CZ,31.99,LTE,Online,230-01,0x6050,155261708,45,EUTRAN-BAND20,6200,3,3,-87,-648,-372,7,49.23248943159412,,16.572890447718844,,,,273.75,,
24/04/07,20:31:26,T-Mobile CZ,31.99,LTE,Online,230-01,0x6050,155261708,45,EUTRAN-BAND20,6200,3,3,-71,-606,-361,10,49.23262,,16.573183,,,,273.0,,
24/04/07,20:31:29,T-Mobile CZ,31.99,LTE,Online,230-01,0x6050,155261708,45,EUTRAN-BAND20,6200,3,3,-121,-593,-303,12,49.23261955555555,,16.573248222222222,,,,273.0,,
24/04/07,20:31:32,T-Mobile CZ,31.99,LTE,Online,230-01,0x6050,155261708,45,EUTRAN-BAND20,6200,3,3,-119,-564,-257,11,49.232619111111106,,16.573313444444445,,,,273.0,,
24/04/07,20:31:35,T-Mobile CZ,31.99,LTE,Online,230-01,0x6050,155261708,45,EUTRAN-BAND20,6200,3,3,-119,-577,-284,9,49.23261866666667,,16.573378666666667,,,,273.0,,
24/04/07,20:31:38,T-Mobile CZ,31.99,LTE,Online,230-01,0x6050,155261708,45,EUTRAN-BAND20,6200,3,3,-83,-552,-281,14,49.23261822222222,,16.57344388888889,,,,273.0,,
24/04/07,20:31:41,T-Mobile CZ,31.99,LTE,Online,230-01,0x6050,155261708,45,EUTRAN-BAND20,6200,3,3,-92,-534,-274,16,49.232617777777776,,16.57350911111111,,,,273.0,,
